,route,date,real_value
62,B_3,2016-10-19 06:20:00,106.34
63,B_3,2016-10-19 07:00:00,141.43
64,B_3,2016-10-19 07:20:00,73.72
65,B_3,2016-10-19 07:40:00,80.27
66,B_3,2016-10-19 08:00:00,70.3
67,B_3,2016-10-19 08:20:00,145.63
68,B_3,2016-10-19 08:40:00,120.0
69,B_3,2016-10-19 09:00:00,129.17
70,B_3,2016-10-19 09:20:00,108.18
71,B_3,2016-10-19 09:40:00,112.14
72,B_3,2016-10-19 10:00:00,110.87
73,B_3,2016-10-19 10:20:00,116.29
74,B_3,2016-10-19 10:40:00,98.9
75,B_3,2016-10-19 11:00:00,92.89
76,B_3,2016-10-19 11:20:00,109.8
77,B_3,2016-10-19 11:40:00,124.3
78,B_3,2016-10-19 12:00:00,115.77
79,B_3,2016-10-19 12:20:00,126.68
80,B_3,2016-10-19 12:40:00,68.88
81,B_3,2016-10-19 13:00:00,115.73
82,B_3,2016-10-19 13:20:00,82.57
83,B_3,2016-10-19 13:40:00,129.01
84,B_3,2016-10-19 14:00:00,96.35
85,B_3,2016-10-19 14:20:00,103.64
86,B_3,2016-10-19 14:40:00,68.83
87,B_3,2016-10-19 15:00:00,82.13
88,B_3,2016-10-19 15:20:00,128.95
89,B_3,2016-10-19 15:40:00,84.24
90,B_3,2016-10-19 16:00:00,115.72
91,B_3,2016-10-19 16:20:00,141.25
92,B_3,2016-10-19 16:40:00,102.53
93,B_3,2016-10-19 17:00:00,106.34
94,B_3,2016-10-19 17:20:00,105.73
95,B_3,2016-10-19 17:40:00,101.06
96,B_3,2016-10-19 18:00:00,87.42
97,B_3,2016-10-19 18:20:00,110.38
98,B_3,2016-10-19 18:40:00,80.84
99,B_3,2016-10-19 19:00:00,115.22
100,B_3,2016-10-19 19:40:00,90.42
101,B_3,2016-10-19 20:00:00,96.08
102,B_3,2016-10-19 20:40:00,24.94
103,B_3,2016-10-19 21:20:00,82.27
104,B_3,2016-10-19 21:40:00,71.51
105,B_3,2016-10-19 22:20:00,75.0
106,B_3,2016-10-19 22:40:00,72.51
107,B_3,2016-10-20 00:00:00,33.16
108,B_3,2016-10-20 00:20:00,57.36
109,B_3,2016-10-20 01:00:00,33.43
110,B_3,2016-10-20 01:20:00,73.61
111,B_3,2016-10-20 02:40:00,57.87
112,B_3,2016-10-20 04:20:00,92.45
113,B_3,2016-10-20 05:20:00,82.92
114,B_3,2016-10-20 06:00:00,126.27
115,B_3,2016-10-20 06:20:00,84.63
116,B_3,2016-10-20 06:40:00,110.79
117,B_3,2016-10-20 07:20:00,66.86
118,B_3,2016-10-20 07:40:00,107.81
119,B_3,2016-10-20 08:00:00,93.88
120,B_3,2016-10-20 08:20:00,87.78
121,B_3,2016-10-20 08:40:00,103.01
122,B_3,2016-10-20 09:00:00,94.06
123,B_3,2016-10-20 09:20:00,114.88
124,B_3,2016-10-20 09:40:00,70.85
125,B_3,2016-10-20 10:00:00,116.25
126,B_3,2016-10-20 10:20:00,94.64
127,B_3,2016-10-20 10:40:00,92.56
128,B_3,2016-10-20 11:00:00,75.04
129,B_3,2016-10-20 11:20:00,106.09
130,B_3,2016-10-20 11:40:00,100.51
131,B_3,2016-10-20 12:00:00,85.33
132,B_3,2016-10-20 12:20:00,99.64
133,B_3,2016-10-20 12:40:00,95.54
134,B_3,2016-10-20 13:00:00,64.16
135,B_3,2016-10-20 13:20:00,90.72
136,B_3,2016-10-20 13:40:00,88.04
137,B_3,2016-10-20 14:00:00,110.72
138,B_3,2016-10-20 14:20:00,93.37
139,B_3,2016-10-20 14:40:00,73.17
140,B_3,2016-10-20 15:00:00,122.19
141,B_3,2016-10-20 15:20:00,77.16
142,B_3,2016-10-20 15:40:00,78.73
143,B_3,2016-10-20 16:00:00,107.68
144,B_3,2016-10-20 16:20:00,102.18
145,B_3,2016-10-20 16:40:00,146.32
146,B_3,2016-10-20 17:00:00,116.79
147,B_3,2016-10-20 17:20:00,93.09
148,B_3,2016-10-20 17:40:00,87.7
149,B_3,2016-10-20 18:00:00,99.22
150,B_3,2016-10-20 18:20:00,80.24
151,B_3,2016-10-20 18:40:00,106.83
152,B_3,2016-10-20 21:00:00,91.05
153,B_3,2016-10-20 21:20:00,106.26
154,B_3,2016-10-20 23:00:00,88.18
155,B_3,2016-10-21 00:20:00,135.45
156,B_3,2016-10-21 01:00:00,45.72
157,B_3,2016-10-21 02:20:00,48.67
158,B_3,2016-10-21 03:00:00,71.64
159,B_3,2016-10-21 03:20:00,56.75
160,B_3,2016-10-21 03:40:00,102.09
161,B_3,2016-10-21 04:20:00,83.96
162,B_3,2016-10-21 05:20:00,70.91
163,B_3,2016-10-21 06:20:00,48.07
164,B_3,2016-10-21 06:40:00,59.52
165,B_3,2016-10-21 07:00:00,103.71
166,B_3,2016-10-21 07:20:00,68.25
167,B_3,2016-10-21 07:40:00,104.03
168,B_3,2016-10-21 08:00:00,85.64
169,B_3,2016-10-21 08:20:00,99.17
170,B_3,2016-10-21 08:40:00,102.09
171,B_3,2016-10-21 09:00:00,103.95
172,B_3,2016-10-21 09:20:00,82.41
173,B_3,2016-10-21 09:40:00,107.51
174,B_3,2016-10-21 10:00:00,93.75
175,B_3,2016-10-21 10:20:00,119.6
176,B_3,2016-10-21 10:40:00,90.81
177,B_3,2016-10-21 11:00:00,85.04
178,B_3,2016-10-21 11:20:00,100.8
179,B_3,2016-10-21 11:40:00,94.93
180,B_3,2016-10-21 12:00:00,111.08
181,B_3,2016-10-21 12:20:00,99.3
182,B_3,2016-10-21 12:40:00,95.92
183,B_3,2016-10-21 13:00:00,97.7
184,B_3,2016-10-21 13:20:00,110.23
185,B_3,2016-10-21 13:40:00,108.24
186,B_3,2016-10-21 14:00:00,136.98
187,B_3,2016-10-21 14:20:00,64.45
188,B_3,2016-10-21 14:40:00,71.82
189,B_3,2016-10-21 15:00:00,141.22
190,B_3,2016-10-21 15:20:00,110.21
191,B_3,2016-10-21 15:40:00,131.13
192,B_3,2016-10-21 16:00:00,96.29
193,B_3,2016-10-21 16:20:00,110.03
194,B_3,2016-10-21 16:40:00,117.99
195,B_3,2016-10-21 17:00:00,84.76
196,B_3,2016-10-21 17:20:00,108.29
197,B_3,2016-10-21 17:40:00,130.19
198,B_3,2016-10-21 18:00:00,137.44
199,B_3,2016-10-21 18:20:00,120.71
200,B_3,2016-10-21 18:40:00,60.02
201,B_3,2016-10-21 19:00:00,117.48
202,B_3,2016-10-21 19:20:00,91.0
203,B_3,2016-10-21 19:40:00,98.6
204,B_3,2016-10-21 20:00:00,79.51
205,B_3,2016-10-21 20:20:00,89.73
206,B_3,2016-10-21 20:40:00,97.88
207,B_3,2016-10-21 21:00:00,66.01
208,B_3,2016-10-21 22:00:00,70.95
209,B_3,2016-10-21 22:40:00,100.45
210,B_3,2016-10-21 23:40:00,60.13
211,B_3,2016-10-22 00:40:00,80.15
212,B_3,2016-10-22 01:00:00,54.8
213,B_3,2016-10-22 02:20:00,121.44
214,B_3,2016-10-22 04:40:00,111.09
215,B_3,2016-10-22 05:40:00,87.97
216,B_3,2016-10-22 06:40:00,116.59
217,B_3,2016-10-22 07:00:00,82.45
218,B_3,2016-10-22 07:20:00,91.26
219,B_3,2016-10-22 07:40:00,111.6
220,B_3,2016-10-22 08:00:00,103.23
221,B_3,2016-10-22 08:20:00,111.49
222,B_3,2016-10-22 08:40:00,65.55
223,B_3,2016-10-22 09:00:00,92.04
224,B_3,2016-10-22 09:20:00,116.15
225,B_3,2016-10-22 09:40:00,114.06
226,B_3,2016-10-22 10:00:00,106.28
227,B_3,2016-10-22 10:20:00,123.33
228,B_3,2016-10-22 10:40:00,136.42
229,B_3,2016-10-22 11:00:00,97.36
230,B_3,2016-10-22 11:20:00,98.93
231,B_3,2016-10-22 11:40:00,89.37
232,B_3,2016-10-22 12:00:00,95.72
233,B_3,2016-10-22 12:20:00,99.27
234,B_3,2016-10-22 12:40:00,123.18
235,B_3,2016-10-22 13:00:00,182.83
236,B_3,2016-10-22 13:20:00,101.31
237,B_3,2016-10-22 13:40:00,117.49
238,B_3,2016-10-22 14:00:00,105.02
239,B_3,2016-10-22 14:20:00,104.69
240,B_3,2016-10-22 14:40:00,107.03
241,B_3,2016-10-22 15:00:00,105.32
242,B_3,2016-10-22 15:20:00,81.86
243,B_3,2016-10-22 15:40:00,122.33
244,B_3,2016-10-22 16:00:00,98.95
245,B_3,2016-10-22 16:20:00,95.1
246,B_3,2016-10-22 16:40:00,124.97
247,B_3,2016-10-22 17:00:00,87.86
248,B_3,2016-10-22 17:20:00,103.59
249,B_3,2016-10-22 17:40:00,120.99
250,B_3,2016-10-22 18:00:00,95.22
251,B_3,2016-10-22 18:20:00,72.77
252,B_3,2016-10-22 18:40:00,88.6
253,B_3,2016-10-22 19:00:00,69.57
254,B_3,2016-10-22 19:20:00,373.06
255,B_3,2016-10-22 19:40:00,96.35
256,B_3,2016-10-22 20:00:00,41.54
257,B_3,2016-10-22 20:20:00,131.23
258,B_3,2016-10-22 20:40:00,84.56
259,B_3,2016-10-22 21:20:00,51.24
260,B_3,2016-10-22 21:40:00,155.24
261,B_3,2016-10-22 22:00:00,130.64
262,B_3,2016-10-22 22:20:00,126.93
263,B_3,2016-10-22 22:40:00,94.18
264,B_3,2016-10-22 23:00:00,58.1
265,B_3,2016-10-22 23:20:00,67.33
266,B_3,2016-10-23 00:00:00,103.11
267,B_3,2016-10-23 00:20:00,71.8
268,B_3,2016-10-23 01:00:00,135.04
269,B_3,2016-10-23 02:00:00,61.31
270,B_3,2016-10-23 04:40:00,434.74
271,B_3,2016-10-23 06:20:00,100.63
272,B_3,2016-10-23 07:00:00,87.34
273,B_3,2016-10-23 07:20:00,102.72
274,B_3,2016-10-23 07:40:00,107.13
275,B_3,2016-10-23 08:00:00,106.67
276,B_3,2016-10-23 08:20:00,85.55
277,B_3,2016-10-23 08:40:00,91.14
278,B_3,2016-10-23 09:00:00,64.23
279,B_3,2016-10-23 09:20:00,120.49
280,B_3,2016-10-23 09:40:00,105.35
281,B_3,2016-10-23 10:00:00,69.38
282,B_3,2016-10-23 10:20:00,74.51
283,B_3,2016-10-23 10:40:00,114.74
284,B_3,2016-10-23 11:00:00,103.09
285,B_3,2016-10-23 11:40:00,114.92
286,B_3,2016-10-23 12:00:00,85.68
287,B_3,2016-10-23 12:40:00,73.34
288,B_3,2016-10-23 13:00:00,80.29
289,B_3,2016-10-23 13:20:00,104.37
290,B_3,2016-10-23 13:40:00,106.34
291,B_3,2016-10-23 14:00:00,113.03
292,B_3,2016-10-23 14:20:00,116.04
293,B_3,2016-10-23 14:40:00,99.0
294,B_3,2016-10-23 15:00:00,100.44
295,B_3,2016-10-23 15:20:00,111.74
296,B_3,2016-10-23 15:40:00,106.38
297,B_3,2016-10-23 16:00:00,103.15
298,B_3,2016-10-23 16:20:00,149.42
299,B_3,2016-10-23 16:40:00,101.33
300,B_3,2016-10-23 17:00:00,88.62
301,B_3,2016-10-23 17:20:00,104.55
302,B_3,2016-10-23 17:40:00,90.96
303,B_3,2016-10-23 18:00:00,109.01
304,B_3,2016-10-23 18:20:00,81.63
305,B_3,2016-10-23 18:40:00,104.62
306,B_3,2016-10-23 19:00:00,96.24
307,B_3,2016-10-23 19:20:00,58.41
308,B_3,2016-10-23 19:40:00,72.98
309,B_3,2016-10-23 20:00:00,100.17
310,B_3,2016-10-23 20:20:00,75.18
311,B_3,2016-10-23 20:40:00,101.67
312,B_3,2016-10-23 21:00:00,79.64
313,B_3,2016-10-23 21:20:00,60.95
314,B_3,2016-10-23 21:40:00,121.03
315,B_3,2016-10-23 22:00:00,71.52
316,B_3,2016-10-23 22:20:00,138.69
317,B_3,2016-10-23 22:40:00,80.97
318,B_3,2016-10-23 23:20:00,60.18
319,B_3,2016-10-24 00:00:00,58.71
320,B_3,2016-10-24 03:20:00,98.49
321,B_3,2016-10-24 05:00:00,55.03
322,B_3,2016-10-24 05:40:00,146.7
323,B_3,2016-10-24 06:00:00,83.81
324,B_3,2016-10-24 06:20:00,96.08
325,B_3,2016-10-24 06:40:00,107.53
326,B_3,2016-10-24 07:00:00,107.09
327,B_3,2016-10-24 07:20:00,97.1
328,B_3,2016-10-24 07:40:00,112.2
329,B_3,2016-10-24 08:00:00,120.81
330,B_3,2016-10-24 08:20:00,98.33
331,B_3,2016-10-24 08:40:00,107.49
332,B_3,2016-10-24 09:00:00,147.68
333,B_3,2016-10-24 09:20:00,124.16
334,B_3,2016-10-24 09:40:00,136.56
335,B_3,2016-10-24 10:00:00,100.0
336,B_3,2016-10-24 10:20:00,118.5
337,B_3,2016-10-24 10:40:00,74.23
338,B_3,2016-10-24 11:00:00,74.03
339,B_3,2016-10-24 11:20:00,99.73
340,B_3,2016-10-24 11:40:00,158.71
341,B_3,2016-10-24 12:00:00,104.24
342,B_3,2016-10-24 12:20:00,85.08
343,B_3,2016-10-24 12:40:00,97.88
344,B_3,2016-10-24 13:00:00,122.7
345,B_3,2016-10-24 13:20:00,103.85
346,B_3,2016-10-24 13:40:00,128.96
347,B_3,2016-10-24 14:00:00,104.69
348,B_3,2016-10-24 14:20:00,95.15
349,B_3,2016-10-24 14:40:00,74.28
350,B_3,2016-10-24 15:00:00,127.51
351,B_3,2016-10-24 15:20:00,76.68
352,B_3,2016-10-24 15:40:00,98.0
353,B_3,2016-10-24 16:00:00,65.32
354,B_3,2016-10-24 16:20:00,82.3
355,B_3,2016-10-24 16:40:00,109.51
356,B_3,2016-10-24 17:00:00,110.46
357,B_3,2016-10-24 17:20:00,57.83
358,B_3,2016-10-24 17:40:00,118.39
359,B_3,2016-10-24 18:00:00,104.99
360,B_3,2016-10-24 18:20:00,129.71
361,B_3,2016-10-24 18:40:00,46.32
362,B_3,2016-10-24 19:00:00,112.2
363,B_3,2016-10-24 19:40:00,124.28
364,B_3,2016-10-24 20:00:00,101.36
365,B_3,2016-10-24 20:20:00,83.06
366,B_3,2016-10-24 20:40:00,111.51
367,B_3,2016-10-24 22:20:00,25.03
368,B_3,2016-10-24 22:40:00,93.25
369,B_3,2016-10-24 23:20:00,63.94
370,B_3,2016-10-24 23:40:00,100.25
371,C_1,2016-10-18 00:00:00,144.57
372,C_1,2016-10-18 03:40:00,108.96
373,C_1,2016-10-18 05:00:00,117.7
374,C_1,2016-10-18 05:40:00,105.27
375,C_1,2016-10-18 06:00:00,145.35
376,C_1,2016-10-18 06:20:00,136.22
377,C_1,2016-10-18 06:40:00,147.82
378,C_1,2016-10-18 07:00:00,180.98
379,C_1,2016-10-18 07:20:00,136.51
380,C_1,2016-10-18 07:40:00,311.04
381,C_1,2016-10-18 08:00:00,134.51
382,C_1,2016-10-18 08:20:00,183.06
383,C_1,2016-10-18 09:00:00,158.02
384,C_1,2016-10-18 09:20:00,130.53
385,C_1,2016-10-18 09:40:00,151.99
386,C_1,2016-10-18 10:00:00,207.06
387,C_1,2016-10-18 10:20:00,151.39
388,C_1,2016-10-18 10:40:00,159.14
389,C_1,2016-10-18 11:00:00,145.91
390,C_1,2016-10-18 11:20:00,183.42
391,C_1,2016-10-18 11:40:00,167.86
392,C_1,2016-10-18 12:00:00,144.66
393,C_1,2016-10-18 12:20:00,152.04
394,C_1,2016-10-18 12:40:00,169.13
395,C_1,2016-10-18 13:00:00,133.25
396,C_1,2016-10-18 13:20:00,222.76
397,C_1,2016-10-18 13:40:00,194.75
398,C_1,2016-10-18 14:00:00,157.53
399,C_1,2016-10-18 14:20:00,160.07
400,C_1,2016-10-18 15:00:00,168.9
401,C_1,2016-10-18 15:20:00,218.69
402,C_1,2016-10-18 15:40:00,178.16
403,C_1,2016-10-18 16:00:00,158.96
404,C_1,2016-10-18 16:20:00,181.91
405,C_1,2016-10-18 16:40:00,196.36
406,C_1,2016-10-18 17:00:00,417.44
407,C_1,2016-10-18 17:20:00,185.55
408,C_1,2016-10-18 17:40:00,238.49
409,C_1,2016-10-18 18:00:00,179.15
410,C_1,2016-10-18 18:20:00,263.94
411,C_1,2016-10-18 18:40:00,390.85
412,C_1,2016-10-18 19:00:00,190.97
413,C_1,2016-10-18 19:20:00,129.46
414,C_1,2016-10-18 19:40:00,166.26
415,C_1,2016-10-18 20:00:00,247.17
416,C_1,2016-10-18 20:20:00,220.99
417,C_1,2016-10-18 20:40:00,262.81
418,C_1,2016-10-18 21:00:00,267.81
419,C_1,2016-10-18 21:20:00,240.66
420,C_1,2016-10-18 22:40:00,149.75
421,C_1,2016-10-19 00:00:00,256.58
422,C_1,2016-10-19 00:40:00,171.43
423,C_1,2016-10-19 01:20:00,128.88
424,C_1,2016-10-19 02:20:00,156.49
425,C_1,2016-10-19 05:00:00,173.43
426,C_1,2016-10-19 07:00:00,147.55
427,C_1,2016-10-19 07:20:00,128.38
428,C_1,2016-10-19 08:00:00,158.18
429,C_1,2016-10-19 08:20:00,189.34
430,C_1,2016-10-19 08:40:00,140.53
431,C_1,2016-10-19 09:00:00,158.96
432,C_1,2016-10-19 09:20:00,250.19
433,C_1,2016-10-19 09:40:00,220.91
434,C_1,2016-10-19 10:00:00,210.87
435,C_1,2016-10-19 10:20:00,181.07
436,C_1,2016-10-19 10:40:00,191.96
437,C_1,2016-10-19 11:00:00,174.99
438,C_1,2016-10-19 11:20:00,179.41
439,C_1,2016-10-19 11:40:00,184.95
440,C_1,2016-10-19 12:00:00,171.55
441,C_1,2016-10-19 12:20:00,168.12
442,C_1,2016-10-19 13:00:00,226.69
443,C_1,2016-10-19 13:20:00,146.72
444,C_1,2016-10-19 13:40:00,162.23
445,C_1,2016-10-19 14:00:00,180.81
446,C_1,2016-10-19 14:20:00,176.47
447,C_1,2016-10-19 14:40:00,178.19
448,C_1,2016-10-19 15:00:00,246.94
449,C_1,2016-10-19 15:20:00,202.37
450,C_1,2016-10-19 15:40:00,204.09
451,C_1,2016-10-19 16:00:00,275.37
452,C_1,2016-10-19 16:20:00,171.05
453,C_1,2016-10-19 16:40:00,181.54
454,C_1,2016-10-19 17:00:00,233.4
455,C_1,2016-10-19 17:20:00,190.28
456,C_1,2016-10-19 17:40:00,198.43
457,C_1,2016-10-19 18:00:00,283.97
458,C_1,2016-10-19 18:20:00,314.9
459,C_1,2016-10-19 19:00:00,195.75
460,C_1,2016-10-19 19:40:00,150.58
461,C_1,2016-10-19 20:20:00,190.74
462,C_1,2016-10-19 20:40:00,218.75
463,C_1,2016-10-19 21:00:00,130.09
464,C_1,2016-10-19 21:40:00,177.36
465,C_1,2016-10-19 22:20:00,213.63
466,C_1,2016-10-19 23:20:00,214.73
467,C_1,2016-10-19 23:40:00,165.06
468,C_1,2016-10-20 01:00:00,106.83
469,C_1,2016-10-20 01:20:00,187.31
470,C_1,2016-10-20 04:40:00,135.28
471,C_1,2016-10-20 06:20:00,157.32
472,C_1,2016-10-20 06:40:00,162.36
473,C_1,2016-10-20 07:00:00,247.7
474,C_1,2016-10-20 08:00:00,200.43
475,C_1,2016-10-20 08:20:00,178.94
476,C_1,2016-10-20 08:40:00,200.76
477,C_1,2016-10-20 09:00:00,138.53
478,C_1,2016-10-20 09:20:00,182.56
479,C_1,2016-10-20 09:40:00,152.07
480,C_1,2016-10-20 10:00:00,163.05
481,C_1,2016-10-20 10:20:00,159.73
482,C_1,2016-10-20 10:40:00,176.09
483,C_1,2016-10-20 11:00:00,179.06
484,C_1,2016-10-20 11:20:00,182.54
485,C_1,2016-10-20 11:40:00,158.47
486,C_1,2016-10-20 12:00:00,199.38
487,C_1,2016-10-20 12:20:00,154.54
488,C_1,2016-10-20 12:40:00,162.49
489,C_1,2016-10-20 13:00:00,144.04
490,C_1,2016-10-20 13:20:00,154.22
491,C_1,2016-10-20 13:40:00,209.59
492,C_1,2016-10-20 14:00:00,155.19
493,C_1,2016-10-20 14:20:00,163.72
494,C_1,2016-10-20 14:40:00,146.79
495,C_1,2016-10-20 15:00:00,186.0
496,C_1,2016-10-20 15:20:00,141.7
497,C_1,2016-10-20 15:40:00,181.55
498,C_1,2016-10-20 16:00:00,163.1
499,C_1,2016-10-20 16:20:00,167.46
500,C_1,2016-10-20 16:40:00,194.36
501,C_1,2016-10-20 17:00:00,226.48
502,C_1,2016-10-20 17:20:00,312.25
503,C_1,2016-10-20 18:00:00,174.53
504,C_1,2016-10-20 18:20:00,149.01
505,C_1,2016-10-20 18:40:00,165.61
506,C_1,2016-10-20 21:00:00,192.04
507,C_1,2016-10-20 21:40:00,247.29
508,C_1,2016-10-20 22:00:00,187.9
509,C_1,2016-10-20 22:20:00,458.93
510,C_1,2016-10-20 23:00:00,151.53
511,C_1,2016-10-20 23:40:00,171.73
512,C_1,2016-10-21 00:40:00,148.11
513,C_1,2016-10-21 01:40:00,212.95
514,C_1,2016-10-21 05:40:00,125.53
515,C_1,2016-10-21 06:20:00,182.47
516,C_1,2016-10-21 07:00:00,184.69
517,C_1,2016-10-21 07:40:00,168.56
518,C_1,2016-10-21 08:00:00,147.11
519,C_1,2016-10-21 08:20:00,193.38
520,C_1,2016-10-21 09:00:00,149.93
521,C_1,2016-10-21 09:20:00,182.18
522,C_1,2016-10-21 09:40:00,173.31
523,C_1,2016-10-21 10:00:00,123.39
524,C_1,2016-10-21 10:20:00,164.87
525,C_1,2016-10-21 10:40:00,142.19
526,C_1,2016-10-21 11:00:00,139.2
527,C_1,2016-10-21 11:20:00,191.48
528,C_1,2016-10-21 11:40:00,200.26
529,C_1,2016-10-21 12:00:00,178.24
530,C_1,2016-10-21 12:20:00,150.06
531,C_1,2016-10-21 12:40:00,190.48
532,C_1,2016-10-21 13:00:00,205.75
533,C_1,2016-10-21 13:20:00,210.53
534,C_1,2016-10-21 13:40:00,214.27
535,C_1,2016-10-21 14:00:00,199.95
536,C_1,2016-10-21 14:20:00,243.05
537,C_1,2016-10-21 14:40:00,245.87
538,C_1,2016-10-21 15:00:00,290.94
539,C_1,2016-10-21 15:20:00,212.3
540,C_1,2016-10-21 15:40:00,186.11
541,C_1,2016-10-21 16:00:00,190.09
542,C_1,2016-10-21 16:20:00,207.06
543,C_1,2016-10-21 16:40:00,261.18
544,C_1,2016-10-21 17:00:00,265.45
545,C_1,2016-10-21 17:20:00,465.17
546,C_1,2016-10-21 17:40:00,482.11
547,C_1,2016-10-21 18:00:00,487.41
548,C_1,2016-10-21 18:20:00,490.26
549,C_1,2016-10-21 18:40:00,317.67
550,C_1,2016-10-21 19:00:00,236.09
551,C_1,2016-10-21 19:20:00,244.14
552,C_1,2016-10-21 20:00:00,219.41
553,C_1,2016-10-21 20:20:00,185.14
554,C_1,2016-10-21 21:20:00,232.72
555,C_1,2016-10-21 21:40:00,208.83
556,C_1,2016-10-21 22:40:00,151.3
557,C_1,2016-10-21 23:00:00,179.34
558,C_1,2016-10-21 23:20:00,179.3
559,C_1,2016-10-22 04:00:00,177.7
560,C_1,2016-10-22 06:20:00,96.81
561,C_1,2016-10-22 06:40:00,165.57
562,C_1,2016-10-22 07:20:00,131.62
563,C_1,2016-10-22 07:40:00,187.74
564,C_1,2016-10-22 08:20:00,169.57
565,C_1,2016-10-22 08:40:00,173.51
566,C_1,2016-10-22 09:00:00,187.36
567,C_1,2016-10-22 09:20:00,187.97
568,C_1,2016-10-22 10:00:00,188.58
569,C_1,2016-10-22 10:20:00,179.0
570,C_1,2016-10-22 10:40:00,184.88
571,C_1,2016-10-22 11:00:00,191.5
572,C_1,2016-10-22 11:20:00,179.65
573,C_1,2016-10-22 11:40:00,236.56
574,C_1,2016-10-22 12:00:00,254.44
575,C_1,2016-10-22 12:20:00,168.82
576,C_1,2016-10-22 12:40:00,210.95
577,C_1,2016-10-22 13:00:00,187.89
578,C_1,2016-10-22 13:20:00,187.57
579,C_1,2016-10-22 13:40:00,228.82
580,C_1,2016-10-22 14:00:00,239.07
581,C_1,2016-10-22 14:20:00,222.62
582,C_1,2016-10-22 14:40:00,251.84
583,C_1,2016-10-22 15:20:00,184.88
584,C_1,2016-10-22 15:40:00,245.56
585,C_1,2016-10-22 16:00:00,222.29
586,C_1,2016-10-22 16:20:00,178.02
587,C_1,2016-10-22 16:40:00,242.56
588,C_1,2016-10-22 17:00:00,331.19
589,C_1,2016-10-22 17:20:00,240.21
590,C_1,2016-10-22 17:40:00,229.13
591,C_1,2016-10-22 18:00:00,271.24
592,C_1,2016-10-22 18:20:00,245.61
593,C_1,2016-10-22 18:40:00,233.02
594,C_1,2016-10-22 19:00:00,262.54
595,C_1,2016-10-22 19:40:00,168.21
596,C_1,2016-10-22 20:00:00,217.36
597,C_1,2016-10-22 20:20:00,166.23
598,C_1,2016-10-22 21:00:00,150.84
599,C_1,2016-10-22 21:20:00,246.97
600,C_1,2016-10-22 21:40:00,159.16
601,C_1,2016-10-22 22:20:00,226.54
602,C_1,2016-10-23 01:40:00,139.31
603,C_1,2016-10-23 02:20:00,124.9
604,C_1,2016-10-23 05:20:00,102.06
605,C_1,2016-10-23 05:40:00,119.89
606,C_1,2016-10-23 06:00:00,207.94
